two-sum,2,0
palindrome-number,3,2
remove-duplicates-from-sorted-array,2,0
remove-element,2,0
search-insert-position,1,1
plus-one,3,0
add-binary,1,0
sqrtx,2,1
climbing-stairs,2,0
merge-sorted-array,3,0
pascals-triangle,0,0
pascals-triangle-ii,1,1
best-time-to-buy-and-sell-stock,0,0
single-number,0,0
majority-element,1,1
reverse-bits,0,0
number-of-1-bits,3,0
happy-number,2,2
contains-duplicate,3,3
contains-duplicate-ii,1,0
summary-ranges,0,0
power-of-two,3,3
add-digits,2,1
ugly-number,3,0
missing-number,3,3
first-bad-version,0,0
move-zeroes,0,0
nim-game,2,0
power-of-three,3,0
counting-bits,2,0
power-of-four,1,1
reverse-string,0,0
intersection-of-two-arrays,1,0
intersection-of-two-arrays-ii,0,0
valid-perfect-square,2,0
ransom-note,0,0
fizz-buzz,1,1
third-maximum-number,3,0
arranging-coins,0,0
find-all-numbers-disappeared-in-an-array,1,0
island-perimeter,0,0
teemo-attacking,2,1
next-greater-element-i,2,0
keyboard-row,0,0
perfect-number,2,0
fibonacci-number,3,3
detect-capital,1,0
reverse-string-ii,0,0
array-partition,2,2
reshape-the-matrix,1,0
distribute-candies,3,0
longest-harmonious-subsequence,0,0
range-addition-ii,2,0
minimum-index-sum-of-two-lists,3,0
can-place-flowers,1,0
maximum-product-of-three-numbers,1,0
maximum-average-subarray-i,2,0
set-mismatch,1,0
image-smoother,2,0
longest-continuous-increasing-subsequence,2,0
degree-of-an-array,2,0
1-bit-and-2-bit-characters,2,0
find-pivot-index,3,3
self-dividing-numbers,1,0
flood-fill,2,0
min-cost-climbing-stairs,2,0
largest-number-at-least-twice-of-others,2,0
toeplitz-matrix,2,0
jewels-and-stones,1,1
unique-morse-code-words,2,0
largest-triangle-area,2,0
goat-latin,1,0
flipping-an-image,2,0
rectangle-overlap,1,0
transpose-matrix,0,0
binary-gap,3,0
projection-area-of-3d-shapes,0,0
fair-candy-swap,1,0
surface-area-of-3d-shapes,1,0
monotonic-array,1,0
sort-array-by-parity,1,0
smallest-range-i,3,1
reverse-only-letters,1,0
sort-array-by-parity-ii,2,0
unique-email-addresses,2,0
valid-mountain-array,1,0
di-string-match,1,0
verifying-an-alien-dictionary,3,0
n-repeated-element-in-size-2n-array,1,0
largest-perimeter-triangle,2,2
squares-of-a-sorted-array,2,2
add-to-array-form-of-integer,3,0
find-the-town-judge,0,0
available-captures-for-rook,3,0
find-common-characters,0,0
complement-of-base-10-integer,3,0
partition-array-into-three-parts-with-equal-sum,2,0
binary-prefix-divisible-by-5,0,0
divisor-game,2,1
valid-boomerang,0,0
height-checker,3,3
occurrences-after-bigram,1,1
duplicate-zeros,2,0
